,schedule_date,Season,schedule_week,schedule_playoff,team_home,score_home,score_away,team_away,Team,spread_favorite,over_under_line,stadium,stadium_neutral,weather_temperature,weather_wind_mph,weather_humidity,weather_detail,point_diff,spread_favorite_covered
8862,12/4/2005,2005,13,False,SF,10,17,ARI,,,43.5,Candlestick Park,False,49.0,8.0,59.0,,-7,False
8863,12/4/2005,2005,13,False,STL,9,24,Washington Redskins,,,45,Edward Jones Dome,False,72.0,0.0,,indoor,-15,False
8864,12/5/2005,2005,13,False,PHI,0,42,SEA,,,44,Lincoln Financial Field,False,34.0,7.0,58.0,,-42,False
8865,12/11/2005,2005,14,False,ARI,13,17,Washington Redskins,,,41.5,University of Phoenix Stadium,False,56.0,4.0,22.0,,-4,False
8866,12/11/2005,2005,14,False,BUF,7,35,NE,,,38,Ralph Wilson Stadium,False,29.0,16.0,74.0,,-28,False
8867,12/11/2005,2005,14,False,CAR,10,20,TB,,,37,Bank of America Stadium,False,40.0,8.0,58.0,,-10,False
8868,12/11/2005,2005,14,False,CIN,23,20,CLE,,,41.5,Paul Brown Stadium,False,33.0,17.0,73.0,,3,False
8869,12/11/2005,2005,14,False,DAL,31,28,KC,,,44,Texas Stadium,False,49.0,10.0,36.0,,3,False
8870,12/11/2005,2005,14,False,DEN,12,10,BAL,,,40.5,Sports Authority Field at Mile High,False,28.0,10.0,56.0,,2,False
8871,12/11/2005,2005,14,False,GB,16,13,DET,,,37,Lambeau Field,False,23.0,13.0,69.0,,3,False
8872,12/11/2005,2005,14,False,JAX,18,26,IND,,,43,EverBank Field,False,57.0,10.0,55.0,,-8,False
8873,12/11/2005,2005,14,False,MIN,27,13,STL,,,45.5,Hubert H. Humphrey Metrodome,False,72.0,0.0,,indoor,14,False
8874,12/11/2005,2005,14,False,NYJ,26,10,OAK,,,37.5,Giants Stadium,False,36.0,11.0,64.0,,16,False
8875,12/11/2005,2005,14,False,PHI,23,26,NYG,,,40,Lincoln Financial Field,False,32.0,7.0,75.0,,-3,False
8876,12/11/2005,2005,14,False,PIT,21,9,CHI,,,32,Heinz Field,False,30.0,10.0,74.0,,12,False
8877,12/11/2005,2005,14,False,SD,21,23,MIA,,,45,Qualcomm Stadium,False,61.0,4.0,36.0,,-2,False
8878,12/11/2005,2005,14,False,SEA,41,3,SF,,,45,CenturyLink Field,False,35.0,4.0,92.0,,38,False
8879,12/11/2005,2005,14,False,TEN,13,10,HOU,,,44,Nissan Stadium,False,40.0,11.0,55.0,,3,False
8880,12/12/2005,2005,14,False,ATL,36,17,NO,,,44,Georgia Dome,False,72.0,0.0,,indoor,19,False
8881,12/17/2005,2005,15,False,BUF,17,28,DEN,,,35,Ralph Wilson Stadium,False,27.0,17.0,79.0,,-11,False
